student_id,gender,study_time_hours,attendance_percent,sleep_hours,parental_education,internet_access,extracurricular_activities,part_time_job,previous_grade,final_exam_score,final_grade,final_grade_category,final_grade_binary
287,Male,3.0,81.1,7.1,Bachelors,Yes,No,No,46.4,68.5,D,Low Grade,0
288,Male,2.9,75.8,6.2,High School,No,Yes,No,52.2,61.5,D,Low Grade,0
289,Male,1.4,100.0,5.6,Unknown,No,Yes,No,70.0,72.3,C,Low Grade,0
290,Female,2.3,81.8,4.4,Bachelors,Yes,No,No,63.5,74.1,C,Low Grade,0
291,Male,1.8,97.2,7.2,Unknown,Yes,No,No,93.9,94.9,A,High Grade,1
292,Male,6.1,100.0,4.9,High School,Yes,No,No,92.0,100.0,A,High Grade,1
293,Male,4.9,95.0,6.9,Masters,Yes,No,Yes,59.6,84.5,B,High Grade,1
294,Female,5.4,80.7,6.5,Masters,Yes,Yes,Yes,76.7,93.7,A,High Grade,1
295,Female,4.6,89.0,7.6,Masters,Yes,No,No,79.0,100.0,A,High Grade,1
296,Female,1.8,84.8,6.4,Unknown,Yes,Yes,No,62.8,81.6,B,High Grade,1
297,Female,2.7,76.0,6.4,Bachelors,Yes,Yes,No,52.1,70.9,C,Low Grade,0
298,Male,4.2,88.2,7.7,High School,Yes,Yes,No,69.9,89.6,B,High Grade,1
299,Male,1.7,73.2,7.2,Masters,No,Yes,No,67.9,69.2,D,Low Grade,0
300,Female,4.6,96.9,7.2,Masters,Yes,No,Yes,64.8,82.3,B,High Grade,1
301,Male,3.1,80.4,7.4,Bachelors,Yes,Yes,Yes,75.3,80.9,B,High Grade,1
302,Male,2.9,87.0,5.0,High School,Yes,Yes,No,61.0,82.4,B,High Grade,1
303,Male,4.6,87.8,7.7,Bachelors,Yes,Yes,No,56.2,91.0,A,High Grade,1
304,Female,4.2,82.4,7.5,High School,No,No,No,71.3,81.6,B,High Grade,1
305,Female,3.0,90.9,5.6,Bachelors,Yes,No,Yes,74.6,83.2,B,High Grade,1
306,Male,5.2,80.3,6.5,Bachelors,Yes,Yes,No,55.9,80.7,B,High Grade,1
307,Female,1.9,93.7,6.8,Masters,Yes,Yes,Yes,81.1,87.2,B,High Grade,1
308,Female,4.4,71.5,6.6,High School,Yes,Yes,Yes,48.8,72.8,C,Low Grade,0
309,Female,4.4,86.3,7.2,Bachelors,Yes,No,No,63.1,85.2,B,High Grade,1
310,Female,3.0,100.0,8.5,High School,Yes,No,Yes,66.9,83.3,B,High Grade,1
311,Female,4.0,75.0,8.1,High School,Yes,Yes,No,62.4,82.6,B,High Grade,1
312,Male,1.6,78.2,5.2,Masters,Yes,No,Yes,63.2,63.4,D,Low Grade,0
313,Female,4.9,90.1,7.5,Unknown,Yes,Yes,No,92.5,100.0,A,High Grade,1
314,Male,3.2,86.8,8.4,Bachelors,Yes,No,No,59.8,79.4,C,Low Grade,0
315,Male,2.7,88.5,7.3,Masters,Yes,Yes,No,99.3,100.0,A,High Grade,1
316,Female,5.1,89.9,8.1,PhD,Yes,Yes,No,75.2,100.0,A,High Grade,1
317,Male,2.4,91.3,9.2,Masters,No,Yes,Yes,71.1,72.9,C,Low Grade,0
318,Male,1.4,96.1,8.0,High School,No,Yes,No,75.7,79.2,C,Low Grade,0
319,Male,1.2,89.1,7.1,Unknown,Yes,No,No,100.0,84.2,B,High Grade,1
320,Female,4.4,82.6,8.1,Bachelors,Yes,Yes,Yes,58.1,80.7,B,High Grade,1
321,Female,1.6,91.7,7.0,High School,Yes,No,No,56.6,85.3,B,High Grade,1
322,Male,6.1,100.0,6.8,High School,Yes,No,Yes,60.9,93.1,A,High Grade,1
323,Female,0.5,83.7,6.4,Bachelors,Yes,Yes,No,70.4,73.5,C,Low Grade,0
324,Female,6.0,75.3,8.7,High School,Yes,Yes,No,49.3,90.8,A,High Grade,1
325,Female,3.8,96.1,5.8,High School,Yes,Yes,Yes,70.3,80.8,B,High Grade,1
326,Female,3.4,83.8,8.6,High School,Yes,No,No,90.3,88.9,B,High Grade,1
327,Male,2.7,63.3,7.4,Masters,No,Yes,No,71.8,63.7,D,Low Grade,0
328,Male,4.1,93.5,5.1,PhD,Yes,Yes,No,66.5,82.6,B,High Grade,1
329,Female,3.4,79.6,7.2,High School,Yes,Yes,No,62.6,63.7,D,Low Grade,0
330,Female,5.2,84.1,4.3,PhD,Yes,No,No,80.8,96.6,A,High Grade,1
331,Male,3.7,88.3,7.6,PhD,Yes,Yes,No,60.1,97.0,A,High Grade,1
332,Male,3.7,86.9,7.9,Masters,No,Yes,No,92.2,93.3,A,High Grade,1
333,Female,3.0,92.1,6.1,High School,Yes,Yes,Yes,93.2,82.8,B,High Grade,1
334,Male,3.4,80.6,6.9,Masters,Yes,Yes,No,73.1,81.2,B,High Grade,1
335,Female,4.0,90.1,9.1,Unknown,Yes,No,No,69.9,88.7,B,High Grade,1
336,Female,0.9,82.4,6.2,Masters,Yes,Yes,No,82.4,71.2,C,Low Grade,0
337,Male,1.5,92.4,5.5,High School,Yes,No,No,83.1,87.1,B,High Grade,1
338,Male,4.6,91.2,8.6,Bachelors,Yes,No,No,60.3,94.9,A,High Grade,1
339,Female,3.8,75.6,9.2,Bachelors,Yes,No,No,63.7,76.1,C,Low Grade,0
340,Female,3.2,95.9,6.8,Bachelors,Yes,No,No,54.1,85.1,B,High Grade,1
341,Male,3.5,79.6,8.0,High School,Yes,Yes,No,74.9,96.3,A,High Grade,1
342,Female,4.0,93.1,8.4,High School,Yes,Yes,No,78.0,100.0,A,High Grade,1
343,Male,2.7,88.7,5.9,Masters,Yes,No,No,53.8,92.0,A,High Grade,1
344,Female,2.3,100.0,6.2,PhD,Yes,Yes,No,64.5,77.2,C,Low Grade,0
345,Male,3.8,82.8,8.3,High School,Yes,No,No,53.8,97.5,A,High Grade,1
346,Male,2.0,81.5,8.8,Unknown,Yes,Yes,Yes,59.2,70.6,C,Low Grade,0
347,Male,4.1,84.8,7.5,High School,Yes,No,No,76.6,87.2,B,High Grade,1
348,Female,0.9,82.0,5.7,Masters,Yes,No,No,61.2,69.0,D,Low Grade,0
349,Female,5.0,93.0,9.2,Masters,Yes,Yes,Yes,66.4,90.2,A,High Grade,1
350,Male,4.2,68.8,6.2,Masters,Yes,Yes,Yes,50.5,74.0,C,Low Grade,0
351,Female,3.9,74.5,6.4,Unknown,Yes,No,No,72.2,75.3,C,Low Grade,0
352,Male,5.0,74.3,7.2,High School,Yes,No,No,69.5,86.5,B,High Grade,1
353,Male,6.0,94.5,8.7,PhD,Yes,Yes,No,61.3,100.0,A,High Grade,1
354,Female,5.0,100.0,7.8,High School,Yes,No,Yes,67.7,93.6,A,High Grade,1
355,Female,0.7,84.0,7.3,Masters,Yes,Yes,Yes,72.2,72.0,C,Low Grade,0
356,Male,1.6,83.3,7.4,Masters,Yes,Yes,No,60.2,76.2,C,Low Grade,0
357,Female,2.6,85.7,6.9,Masters,Yes,No,No,52.3,80.9,B,High Grade,1
358,Female,3.5,96.6,7.5,High School,Yes,No,Yes,91.7,85.3,B,High Grade,1
359,Male,4.3,75.7,3.8,PhD,Yes,No,No,62.4,81.9,B,High Grade,1
360,Male,2.4,87.4,6.4,High School,Yes,No,No,68.8,78.0,C,Low Grade,0
361,Female,3.8,94.8,7.1,High School,Yes,Yes,Yes,82.1,93.6,A,High Grade,1
362,Male,2.4,90.0,5.4,Masters,Yes,No,Yes,100.0,95.1,A,High Grade,1
363,Male,2.6,86.9,7.3,Bachelors,Yes,Yes,Yes,55.1,66.7,D,Low Grade,0
364,Female,1.4,95.0,6.6,Masters,Yes,Yes,No,75.4,75.6,C,Low Grade,0
365,Male,2.1,58.0,8.9,Bachelors,Yes,Yes,No,61.5,57.4,F,Low Grade,0
366,Male,1.5,91.8,8.7,High School,Yes,Yes,No,63.5,75.4,C,Low Grade,0
367,Female,2.0,78.5,6.2,Masters,Yes,Yes,No,61.4,80.5,B,High Grade,1
368,Female,5.1,66.7,6.6,Bachelors,No,Yes,No,56.5,75.1,C,Low Grade,0
369,Male,2.1,90.1,6.7,High School,No,Yes,No,69.5,67.8,D,Low Grade,0
370,Male,7.4,98.7,6.3,Masters,Yes,Yes,No,52.3,97.4,A,High Grade,1
371,Female,4.2,83.6,7.0,Bachelors,Yes,No,Yes,81.4,80.2,B,High Grade,1
372,Female,3.8,94.5,5.9,Bachelors,Yes,Yes,No,70.7,82.8,B,High Grade,1
373,Female,2.2,100.0,5.4,Bachelors,Yes,Yes,No,75.1,87.8,B,High Grade,1
374,Female,4.6,98.1,7.5,Masters,Yes,No,No,64.4,85.8,B,High Grade,1
375,Male,2.6,100.0,7.6,Masters,Yes,No,No,65.6,91.7,A,High Grade,1
376,Female,3.7,92.4,5.8,Masters,Yes,No,Yes,73.5,84.9,B,High Grade,1
377,Female,7.3,85.8,7.9,High School,Yes,Yes,No,56.0,99.3,A,High Grade,1
378,Male,3.4,69.0,6.0,Masters,Yes,No,No,65.7,74.3,C,Low Grade,0
379,Female,5.2,82.5,7.1,Masters,Yes,Yes,No,59.7,93.3,A,High Grade,1
380,Male,2.4,76.6,7.8,Masters,Yes,Yes,No,59.3,79.4,C,Low Grade,0
381,Female,3.4,100.0,6.8,Bachelors,No,Yes,No,44.7,77.4,C,Low Grade,0
382,Female,6.2,83.2,7.3,PhD,Yes,No,No,86.1,100.0,A,High Grade,1
383,Female,2.6,86.2,6.2,Masters,Yes,Yes,No,61.8,76.8,C,Low Grade,0
384,Male,6.2,90.5,6.6,High School,Yes,Yes,No,84.0,100.0,A,High Grade,1
385,Male,4.6,85.4,6.6,Bachelors,No,Yes,No,82.8,88.6,B,High Grade,1
386,Female,2.7,100.0,5.9,PhD,Yes,No,No,54.6,79.1,C,Low Grade,0
387,Male,4.4,78.8,6.6,High School,Yes,No,No,56.9,79.4,C,Low Grade,0
388,Male,5.0,86.9,4.9,Unknown,Yes,Yes,No,100.0,100.0,A,High Grade,1
389,Male,4.4,77.6,6.2,Masters,Yes,No,Yes,91.0,86.7,B,High Grade,1
390,Male,1.1,71.8,6.5,Bachelors,Yes,Yes,Yes,69.6,69.5,D,Low Grade,0
391,Male,2.4,78.9,6.5,High School,Yes,No,No,73.1,86.3,B,High Grade,1
392,Male,3.1,84.6,6.5,High School,Yes,Yes,No,62.4,87.3,B,High Grade,1
393,Female,3.4,80.7,6.7,Unknown,No,No,No,75.2,72.1,C,Low Grade,0
394,Female,4.4,78.1,7.4,High School,Yes,Yes,No,61.4,92.3,A,High Grade,1
395,Male,3.8,70.9,7.8,Masters,Yes,No,Yes,45.6,67.6,D,Low Grade,0
396,Female,1.5,84.2,6.0,Bachelors,Yes,Yes,No,54.1,72.7,C,Low Grade,0
397,Female,4.1,70.0,5.4,High School,Yes,Yes,No,70.3,76.1,C,Low Grade,0
398,Female,4.4,92.6,5.5,High School,No,Yes,No,56.4,81.2,B,High Grade,1
399,Female,4.3,85.8,6.2,Bachelors,Yes,Yes,No,69.2,90.4,A,High Grade,1
400,Male,5.1,70.4,6.4,Unknown,Yes,Yes,No,57.1,73.2,C,Low Grade,0
401,Female,4.8,81.9,5.9,Bachelors,Yes,No,Yes,60.6,85.2,B,High Grade,1
402,Female,4.2,77.5,5.2,Bachelors,Yes,Yes,No,80.2,96.4,A,High Grade,1
403,Male,3.4,88.2,6.3,High School,Yes,No,Yes,73.0,81.9,B,High Grade,1
404,Male,1.0,98.4,7.0,Bachelors,Yes,No,No,69.9,86.5,B,High Grade,1
405,Female,4.1,66.2,7.5,Bachelors,Yes,No,No,80.5,84.7,B,High Grade,1
406,Female,3.8,86.2,6.1,PhD,Yes,No,No,75.8,93.0,A,High Grade,1
407,Female,3.9,83.4,6.3,Bachelors,Yes,No,No,87.4,78.9,C,Low Grade,0
408,Female,1.6,91.7,5.7,Bachelors,Yes,Yes,No,64.5,90.4,A,High Grade,1
409,Female,1.9,87.1,6.8,High School,No,No,No,64.8,80.1,B,High Grade,1
410,Female,5.1,77.5,5.8,Unknown,Yes,Yes,Yes,54.4,78.1,C,Low Grade,0
411,Male,3.4,81.8,7.5,High School,Yes,No,No,64.9,70.1,C,Low Grade,0
412,Female,4.5,77.0,4.7,High School,Yes,No,No,81.6,90.2,A,High Grade,1
413,Female,3.5,95.8,6.4,Masters,Yes,Yes,No,85.6,86.5,B,High Grade,1
414,Male,3.5,85.2,7.2,Bachelors,Yes,Yes,No,81.5,93.5,A,High Grade,1
415,Male,4.9,100.0,7.0,Bachelors,No,Yes,Yes,48.5,83.3,B,High Grade,1
416,Male,2.7,84.4,10.0,Bachelors,Yes,No,Yes,83.0,81.2,B,High Grade,1
417,Male,3.6,77.9,7.2,Masters,No,No,No,47.9,76.0,C,Low Grade,0
418,Female,2.8,69.9,5.6,High School,Yes,Yes,No,80.8,84.9,B,High Grade,1
419,Female,2.8,67.0,6.7,Masters,Yes,No,No,65.6,79.2,C,Low Grade,0
420,Female,3.0,69.2,4.7,Bachelors,No,No,No,78.4,72.8,C,Low Grade,0
421,Female,3.8,87.7,6.7,Bachelors,Yes,Yes,Yes,54.0,69.9,D,Low Grade,0
422,Female,2.8,90.1,5.8,Bachelors,No,Yes,No,84.1,89.6,B,High Grade,1
423,Female,5.4,69.2,7.9,High School,Yes,No,Yes,52.4,77.3,C,Low Grade,0
424,Male,2.2,94.0,6.1,Masters,No,No,No,62.0,64.6,D,Low Grade,0
425,Female,3.2,80.2,6.7,Bachelors,Yes,No,Yes,58.0,81.8,B,High Grade,1
426,Male,2.8,86.5,6.0,High School,Yes,Yes,No,48.9,86.2,B,High Grade,1
427,Male,5.7,100.0,8.9,Bachelors,Yes,Yes,Yes,71.1,100.0,A,High Grade,1
428,Female,3.8,94.0,6.4,Unknown,Yes,Yes,No,91.7,100.0,A,High Grade,1
429,Male,5.0,82.3,9.0,Bachelors,Yes,Yes,No,100.0,100.0,A,High Grade,1
430,Female,1.3,76.1,7.8,Unknown,Yes,Yes,No,71.2,72.0,C,Low Grade,0
431,Male,3.9,63.5,7.4,High School,Yes,No,No,83.4,81.2,B,High Grade,1
432,Female,4.8,77.8,7.2,High School,Yes,Yes,No,72.8,100.0,A,High Grade,1
433,Male,3.6,82.9,7.3,High School,Yes,No,Yes,76.0,79.7,C,Low Grade,0
434,Female,5.1,75.1,4.5,Bachelors,Yes,Yes,No,65.9,89.4,B,High Grade,1
435,Female,2.7,83.7,6.5,High School,Yes,No,No,72.3,77.8,C,Low Grade,0
436,Female,5.6,85.8,7.8,High School,Yes,Yes,Yes,76.4,93.4,A,High Grade,1
437,Female,6.9,82.8,6.7,Unknown,Yes,Yes,Yes,63.1,100.0,A,High Grade,1
438,Female,3.0,78.5,5.1,Masters,Yes,Yes,No,69.1,76.5,C,Low Grade,0
439,Male,2.8,86.7,6.7,Masters,Yes,No,No,69.3,79.3,C,Low Grade,0
440,Male,5.7,89.4,8.8,High School,No,No,No,79.9,100.0,A,High Grade,1
441,Male,5.9,74.1,8.3,High School,Yes,Yes,No,57.2,98.9,A,High Grade,1
442,Female,2.7,99.1,6.7,High School,Yes,Yes,Yes,69.4,87.5,B,High Grade,1
443,Male,2.9,84.0,7.9,Masters,Yes,No,Yes,92.9,85.2,B,High Grade,1
444,Female,3.1,85.2,6.4,Unknown,Yes,Yes,No,84.0,86.0,B,High Grade,1
445,Female,1.5,92.1,4.8,Bachelors,Yes,Yes,Yes,86.2,80.7,B,High Grade,1
446,Male,2.1,87.3,5.7,High School,Yes,No,No,70.3,79.9,C,Low Grade,0
447,Male,2.0,94.5,8.7,Bachelors,Yes,No,No,73.9,79.1,C,Low Grade,0
448,Female,2.3,87.9,6.5,High School,Yes,Yes,Yes,82.0,87.1,B,High Grade,1
449,Male,3.4,78.9,6.5,Bachelors,Yes,Yes,No,88.7,90.7,A,High Grade,1
450,Female,3.9,88.6,6.4,Bachelors,Yes,No,Yes,46.6,64.6,D,Low Grade,0
451,Female,5.8,73.6,9.1,Masters,No,Yes,No,54.2,77.9,C,Low Grade,0
452,Female,2.0,86.1,8.8,High School,Yes,Yes,Yes,85.7,82.0,B,High Grade,1
453,Female,5.0,84.7,9.5,High School,Yes,No,No,66.7,92.8,A,High Grade,1
454,Female,3.2,82.9,6.6,Unknown,No,No,No,61.9,85.4,B,High Grade,1
455,Male,3.4,83.7,7.2,High School,Yes,Yes,No,55.0,80.7,B,High Grade,1
456,Male,4.5,66.2,5.0,High School,Yes,No,No,63.3,72.7,C,Low Grade,0
457,Female,1.8,79.5,8.6,High School,Yes,No,Yes,53.2,68.8,D,Low Grade,0
458,Female,4.1,85.9,5.4,High School,No,Yes,No,95.1,89.9,B,High Grade,1
459,Male,3.7,86.6,7.1,Bachelors,No,No,No,69.7,83.3,B,High Grade,1
460,Male,4.2,74.7,5.5,Masters,Yes,Yes,No,69.3,86.8,B,High Grade,1
461,Female,3.9,97.7,6.1,High School,Yes,Yes,Yes,77.1,98.2,A,High Grade,1
462,Male,7.2,76.3,5.8,Bachelors,Yes,No,No,81.5,100.0,A,High Grade,1
463,Female,2.5,94.7,6.1,Masters,Yes,Yes,Yes,81.4,95.1,A,High Grade,1
464,Male,2.7,89.3,6.2,Bachelors,Yes,Yes,No,82.9,93.5,A,High Grade,1
465,Female,2.6,78.5,6.1,PhD,No,Yes,Yes,62.4,63.2,D,Low Grade,0
466,Male,2.7,100.0,7.8,PhD,Yes,Yes,No,66.4,100.0,A,High Grade,1
467,Female,2.5,73.1,5.5,High School,Yes,No,Yes,79.2,77.1,C,Low Grade,0
468,Male,5.3,94.2,7.1,Masters,Yes,No,No,63.7,88.8,B,High Grade,1
469,Male,5.6,95.0,8.3,Bachelors,Yes,No,No,69.9,100.0,A,High Grade,1
470,Female,2.6,78.3,6.2,Unknown,Yes,Yes,Yes,74.8,89.9,B,High Grade,1
471,Male,2.3,98.9,5.9,Bachelors,Yes,Yes,No,79.4,87.6,B,High Grade,1
472,Female,4.2,82.5,6.5,Unknown,No,Yes,Yes,48.7,68.0,D,Low Grade,0
473,Male,2.7,87.9,8.2,Masters,No,Yes,No,78.6,82.2,B,High Grade,1
474,Female,4.4,87.6,7.0,High School,Yes,Yes,No,67.2,94.0,A,High Grade,1
475,Male,3.8,83.7,6.2,Bachelors,No,No,No,78.5,90.9,A,High Grade,1
476,Female,1.2,93.1,7.4,Unknown,Yes,No,No,79.3,85.0,B,High Grade,1
477,Male,5.8,92.9,5.5,PhD,Yes,No,Yes,89.3,100.0,A,High Grade,1
478,Female,6.2,67.5,7.6,High School,Yes,Yes,No,86.2,100.0,A,High Grade,1
479,Male,2.6,98.0,7.3,Masters,Yes,No,Yes,86.2,87.4,B,High Grade,1
480,Female,2.9,68.4,6.4,High School,No,Yes,No,87.3,84.8,B,High Grade,1
481,Female,3.9,95.3,5.8,High School,Yes,Yes,No,73.5,89.5,B,High Grade,1
482,Female,4.0,96.3,5.7,Bachelors,Yes,No,No,70.4,92.3,A,High Grade,1
483,Male,4.5,74.1,7.4,High School,Yes,No,Yes,80.5,86.6,B,High Grade,1
484,Female,6.5,80.9,8.3,Masters,Yes,Yes,No,78.8,100.0,A,High Grade,1
485,Male,3.2,73.9,6.0,High School,Yes,Yes,No,66.3,75.7,C,Low Grade,0
486,Female,2.3,82.9,7.4,Masters,Yes,Yes,Yes,74.9,87.3,B,High Grade,1
487,Male,1.4,81.9,4.3,High School,Yes,No,No,69.6,66.6,D,Low Grade,0
488,Female,2.4,92.8,6.1,High School,Yes,Yes,No,59.8,74.1,C,Low Grade,0
489,Male,3.5,98.1,6.8,High School,Yes,No,No,85.5,100.0,A,High Grade,1
490,Male,6.2,99.0,5.7,High School,Yes,Yes,No,70.7,100.0,A,High Grade,1
491,Female,2.7,79.4,5.7,High School,Yes,Yes,No,94.6,74.3,C,Low Grade,0
492,Male,3.8,82.9,6.0,High School,Yes,Yes,Yes,50.5,71.1,C,Low Grade,0
493,Male,3.5,68.2,7.2,Bachelors,Yes,Yes,No,63.3,66.7,D,Low Grade,0
494,Female,5.3,76.9,6.6,High School,Yes,Yes,Yes,70.4,82.1,B,High Grade,1
495,Male,7.3,94.6,4.1,Bachelors,Yes,No,No,83.6,88.5,B,High Grade,1
496,Male,2.7,100.0,4.3,Bachelors,No,No,No,74.8,79.4,C,Low Grade,0
497,Male,2.8,72.7,6.1,PhD,Yes,No,No,73.7,71.0,C,Low Grade,0
498,Female,5.1,79.1,7.3,Unknown,Yes,No,No,56.5,85.4,B,High Grade,1
499,Male,4.5,84.7,3.5,Bachelors,No,No,Yes,56.1,61.8,D,Low Grade,0
500,Female,6.3,87.8,6.2,High School,Yes,No,No,73.9,99.6,A,High Grade,1
501,Male,4.4,76.9,6.2,High School,Yes,No,No,53.6,76.1,C,Low Grade,0
502,Male,3.0,89.2,8.5,Unknown,Yes,Yes,Yes,63.6,90.4,A,High Grade,1
503,Male,4.4,80.3,6.3,High School,No,Yes,No,76.0,93.3,A,High Grade,1
504,Female,5.2,84.9,7.3,High School,No,Yes,No,58.2,88.9,B,High Grade,1
505,Male,4.7,90.5,7.0,High School,Yes,Yes,No,89.3,99.0,A,High Grade,1
506,Male,4.3,85.1,4.2,High School,Yes,Yes,Yes,84.7,100.0,A,High Grade,1
507,Female,5.1,80.6,7.7,High School,Yes,No,No,51.1,74.5,C,Low Grade,0
508,Male,5.3,83.9,7.1,Masters,No,Yes,Yes,58.8,72.8,C,Low Grade,0
509,Female,5.6,84.1,7.4,High School,No,Yes,Yes,42.6,76.1,C,Low Grade,0
510,Female,4.5,81.3,10.0,Bachelors,Yes,Yes,Yes,60.6,99.5,A,High Grade,1
511,Male,3.2,82.4,4.3,High School,Yes,Yes,Yes,79.2,79.9,C,Low Grade,0
512,Female,3.7,100.0,8.9,High School,Yes,Yes,Yes,65.0,88.2,B,High Grade,1
513,Male,5.3,90.6,6.5,Unknown,Yes,Yes,No,75.5,88.9,B,High Grade,1
514,Female,2.3,82.0,7.1,High School,Yes,Yes,No,51.7,77.9,C,Low Grade,0
515,Female,4.1,92.0,6.7,Masters,Yes,Yes,Yes,79.6,97.2,A,High Grade,1
516,Male,2.9,81.7,6.3,Bachelors,Yes,No,Yes,63.3,79.3,C,Low Grade,0
517,Female,3.5,96.7,6.1,High School,Yes,No,No,70.1,84.2,B,High Grade,1
518,Female,5.4,88.7,7.2,Unknown,No,Yes,No,68.9,86.3,B,High Grade,1
519,Female,3.8,83.9,5.0,High School,Yes,Yes,Yes,54.7,67.6,D,Low Grade,0
520,Female,3.6,89.5,7.7,PhD,Yes,Yes,Yes,56.2,80.7,B,High Grade,1
521,Female,1.5,69.3,6.3,High School,Yes,No,Yes,81.6,64.7,D,Low Grade,0
522,Male,4.6,73.7,5.4,PhD,No,Yes,Yes,74.8,71.8,C,Low Grade,0
523,Female,4.5,73.1,6.3,High School,Yes,Yes,Yes,82.6,84.9,B,High Grade,1
524,Male,6.7,86.4,8.3,Bachelors,Yes,No,No,73.9,100.0,A,High Grade,1
525,Female,3.0,100.0,6.2,Masters,Yes,Yes,Yes,71.7,82.4,B,High Grade,1
526,Male,3.8,100.0,7.2,Unknown,Yes,Yes,No,49.3,87.3,B,High Grade,1
527,Male,3.9,91.4,5.9,Unknown,Yes,Yes,Yes,66.8,84.8,B,High Grade,1
528,Female,5.9,90.0,7.7,Masters,Yes,No,No,69.7,96.4,A,High Grade,1
529,Female,3.4,67.0,7.6,PhD,No,No,No,93.4,84.3,B,High Grade,1
530,Female,3.9,79.6,9.0,High School,Yes,No,No,78.2,84.5,B,High Grade,1
531,Male,4.4,77.1,6.6,High School,Yes,Yes,No,88.4,94.7,A,High Grade,1
532,Female,3.8,78.8,7.6,High School,Yes,Yes,No,77.2,89.6,B,High Grade,1
533,Male,2.8,83.3,6.9,Bachelors,Yes,No,No,61.5,68.6,D,Low Grade,0
534,Male,3.8,80.3,8.4,Bachelors,Yes,No,No,71.4,92.8,A,High Grade,1
535,Male,5.1,65.2,5.9,Bachelors,Yes,Yes,No,72.8,80.7,B,High Grade,1
536,Female,2.0,92.5,7.7,High School,Yes,No,No,58.7,77.6,C,Low Grade,0
537,Female,3.7,74.3,6.6,Masters,Yes,Yes,No,65.4,87.7,B,High Grade,1
538,Male,2.4,87.4,6.7,High School,Yes,Yes,No,67.5,86.0,B,High Grade,1
539,Male,5.3,100.0,6.9,High School,Yes,No,No,89.3,100.0,A,High Grade,1
540,Female,1.2,75.8,7.1,Bachelors,Yes,Yes,Yes,45.0,57.3,F,Low Grade,0
541,Male,2.7,59.7,6.7,Masters,No,No,Yes,84.5,75.6,C,Low Grade,0
542,Female,4.1,82.1,7.1,Masters,Yes,Yes,No,58.8,87.3,B,High Grade,1
543,Male,5.8,96.0,8.7,Bachelors,Yes,Yes,Yes,53.5,88.8,B,High Grade,1
544,Female,3.4,100.0,8.0,High School,Yes,No,No,84.2,91.8,A,High Grade,1
545,Male,2.7,72.7,7.8,Bachelors,Yes,No,Yes,78.8,66.0,D,Low Grade,0
546,Female,6.3,90.0,6.3,High School,Yes,Yes,No,85.1,100.0,A,High Grade,1
547,Male,1.3,80.3,5.7,Bachelors,No,Yes,No,79.6,71.1,C,Low Grade,0
548,Female,0.5,83.9,7.9,Bachelors,Yes,No,No,94.7,88.8,B,High Grade,1
549,Female,4.2,100.0,7.9,High School,Yes,Yes,No,76.7,100.0,A,High Grade,1
550,Male,2.7,70.0,8.6,High School,Yes,No,No,68.1,85.2,B,High Grade,1
551,Male,2.0,87.5,6.1,Unknown,Yes,No,No,74.1,75.4,C,Low Grade,0
552,Female,4.6,89.7,6.5,Unknown,Yes,Yes,No,84.9,100.0,A,High Grade,1
553,Male,3.9,95.9,4.8,Bachelors,Yes,Yes,Yes,60.6,78.9,C,Low Grade,0
554,Female,2.7,86.0,6.3,High School,Yes,Yes,No,62.2,83.4,B,High Grade,1
555,Male,1.6,88.1,8.0,High School,No,No,No,66.3,63.4,D,Low Grade,0
556,Female,4.8,81.1,6.2,Bachelors,Yes,Yes,No,44.7,80.7,B,High Grade,1
557,Female,4.5,87.7,7.6,Unknown,Yes,Yes,No,71.7,80.8,B,High Grade,1
558,Female,3.4,81.6,6.6,High School,Yes,Yes,No,47.4,73.1,C,Low Grade,0
559,Female,6.3,91.2,7.2,Masters,Yes,No,Yes,70.6,99.8,A,High Grade,1
560,Female,1.9,81.3,5.4,High School,Yes,Yes,Yes,80.4,73.5,C,Low Grade,0
561,Female,1.2,88.8,6.9,Unknown,Yes,Yes,No,64.3,68.2,D,Low Grade,0
562,Male,2.5,84.7,3.2,Bachelors,No,No,No,90.1,83.9,B,High Grade,1
563,Male,3.4,96.3,6.6,Masters,No,No,No,52.5,75.3,C,Low Grade,0
564,Male,3.9,84.5,4.8,High School,No,No,Yes,84.3,78.7,C,Low Grade,0
565,Female,3.1,67.3,8.2,Bachelors,Yes,Yes,No,78.1,82.8,B,High Grade,1
566,Female,4.0,97.6,7.7,High School,Yes,Yes,No,49.4,100.0,A,High Grade,1
567,Female,1.6,75.9,7.4,High School,Yes,No,No,100.0,92.6,A,High Grade,1
568,Female,5.7,78.5,8.6,Unknown,Yes,Yes,Yes,69.2,99.1,A,High Grade,1
569,Male,3.4,79.0,5.7,Unknown,Yes,No,Yes,59.5,76.2,C,Low Grade,0
570,Male,5.2,98.7,8.9,PhD,Yes,No,Yes,53.1,90.9,A,High Grade,1
571,Female,4.0,63.6,7.9,Bachelors,Yes,Yes,Yes,67.4,63.3,D,Low Grade,0
572,Male,4.2,100.0,6.5,Masters,Yes,No,Yes,68.5,85.0,B,High Grade,1
573,Male,4.4,95.6,8.2,High School,Yes,No,Yes,71.2,88.7,B,High Grade,1
574,Female,4.2,87.2,5.5,High School,Yes,Yes,No,66.4,75.3,C,Low Grade,0
575,Male,4.5,84.5,5.8,High School,Yes,Yes,No,77.6,84.9,B,High Grade,1
